source,relationship,target,weight,result,cmd,runtime,status
T_5134,runtime_stat,CPU_1,1,,,2284153,
T_5134,switched_out,CPU_1,1,,,,
T_5133,scheduled_to_wake_on,CPU_1,1,,,,
T_5133,wake_up,CPU_1,1,,,,
T_5130,close_fd,File_FD_7,3,,,,
T_5130,close_fd,File_FD_9,3,,,,
CPU_2,switched_in,T_5135,1,,,,
P_5135,contains,T_5135,1,,,,
T_5135,scheduled_to_wake_on,CPU_2,1,,,,
T_5135,wake_up,CPU_2,1,,,,
T_5135,runtime_stat,CPU_2,1,,,53033,
T_5135,switched_out,CPU_2,1,,,,
CPU_3,switched_in,T_5135,3,,,,
T_5135,close_fd,File_FD_5,3,,,,
T_5135,close_exit,T_5135,5,0,,,
T_5135,runtime_stat,CPU_3,6,,,491513,
T_5135,close_fd,File_FD_6,1,,,,
CPU_0,switched_in,T_5136,1,,,,
P_5136,contains,T_5136,1,,,,
T_5136,close_fd,File_FD_5,33,,,,
T_5136,close_exit,T_5136,35,0,,,
T_5136,close_fd,File_FD_6,1,,,,
T_5135,close_fd,File_FD_4294967295,1,,,,
T_5136,close_fd,File_FD_2,1,,,,
T_5135,switched_out,CPU_3,3,,,,
T_5136,scheduled_to_wake_on,CPU_0,1,,,,
T_5136,wake_up,CPU_0,1,,,,
T_5136,runtime_stat,CPU_0,1,,,22945,
T_5136,switched_out,CPU_0,1,,,,
CPU_0,switched_in,T_5137,1,,,,
P_5137,contains,T_5137,1,,,,
CPU_1,switched_in,T_5136,1,,,,
T_5137,close_fd,File_FD_5,9,,,,
T_5137,close_exit,T_5137,11,0,,,
T_5137,scheduled_to_wake_on,CPU_0,1,,,,
T_5137,wake_up,CPU_0,1,,,,
T_5137,runtime_stat,CPU_0,1,,,32929,
T_5137,switched_out,CPU_0,1,,,,
T_9,runtime_stat,CPU_0,1,,,35459,
T_5136,scheduled_to_wake_on,CPU_3,1,,,,
T_5136,wake_up,CPU_3,1,,,,
T_5136,runtime_stat,CPU_1,1,,,1897280,
T_5136,switched_out,CPU_1,1,,,,
CPU_1,switched_in,T_5137,1,,,,
T_5137,ioctl,File_1,1,,21505,,
T_5137,ioctl_exit,T_5137,2,-25,,,
T_5137,ioctl,File_0,1,,21505,,
T_5137,close_fd,File_FD_1,1,,,,
T_5137,close_fd,File_FD_2,1,,,,
T_5137,scheduled_to_wake_on,CPU_3,1,,,,
T_5137,wake_up,CPU_3,1,,,,
T_5137,runtime_stat,CPU_1,1,,,486602,
T_5137,switched_out,CPU_1,1,,,,
T_5135,scheduled_to_wake_on,CPU_1,1,,,,
T_5135,wake_up,CPU_1,1,,,,
CPU_2,switched_in,T_5138,1,,,,
P_5138,contains,T_5138,1,,,,
T_5138,close_fd,File_FD_6,1,,,,
T_5138,close_exit,T_5138,8,0,,,
T_5138,close_fd,File_FD_5,3,,,,
T_5138,close_fd,File_FD_7,1,,,,
T_5138,close_fd,File_FD_8,1,,,,
T_5138,close_fd,File_FD_9,1,,,,
T_5138,close_fd,File_FD_10,1,,,,
T_5138,scheduled_to_wake_on,CPU_2,1,,,,
T_5138,wake_up,CPU_2,1,,,,
T_5138,runtime_stat,CPU_2,1,,,112033,
T_5138,switched_out,CPU_2,1,,,,
CPU_3,switched_in,T_5138,2,,,,
T_5138,runtime_stat,CPU_3,4,,,308805,
T_5138,switched_out,CPU_3,2,,,,
CPU_0,switched_in,T_5139,1,,,,
P_5139,contains,T_5139,1,,,,
T_5139,scheduled_to_wake_on,CPU_0,1,,,,
T_5139,wake_up,CPU_0,1,,,,
T_5139,runtime_stat,CPU_0,1,,,49889,
T_5139,switched_out,CPU_0,1,,,,
CPU_1,switched_in,T_5139,1,,,,
T_5139,close_fd,File_FD_5,32,,,,
T_5139,close_exit,T_5139,32,0,,,
T_5139,scheduled_to_wake_on,CPU_3,1,,,,
T_5139,wake_up,CPU_3,1,,,,
T_5139,runtime_stat,CPU_1,1,,,1887855,
T_5139,switched_out,CPU_1,1,,,,
T_5138,scheduled_to_wake_on,CPU_1,1,,,,
T_5138,wake_up,CPU_1,1,,,,
CPU_3,switched_in,T_5140,1,,,,
P_5140,contains,T_5140,1,,,,
T_5140,close_fd,File_FD_6,1,,,,
T_5140,close_exit,T_5140,8,0,,,
T_5140,close_fd,File_FD_5,3,,,,
T_5140,close_fd,File_FD_7,1,,,,
T_5140,close_fd,File_FD_8,1,,,,
T_5140,close_fd,File_FD_9,1,,,,
T_5140,close_fd,File_FD_10,1,,,,
T_5140,scheduled_to_wake_on,CPU_3,1,,,,
T_5140,wake_up,CPU_3,1,,,,
T_5140,runtime_stat,CPU_3,1,,,102976,
T_5140,switched_out,CPU_3,1,,,,
CPU_0,switched_in,T_5140,2,,,,
T_5140,runtime_stat,CPU_0,3,,,521618,
T_5140,switched_out,CPU_0,2,,,,
CPU_1,switched_in,T_5141,1,,,,
P_5141,contains,T_5141,1,,,,
T_5141,scheduled_to_wake_on,CPU_1,1,,,,
T_5141,wake_up,CPU_1,1,,,,
T_5141,runtime_stat,CPU_1,1,,,46670,
T_5141,switched_out,CPU_1,1,,,,
CPU_3,switched_in,T_5141,1,,,,
T_5141,close_fd,File_FD_5,32,,,,
T_5141,close_exit,T_5141,32,0,,,
T_5141,runtime_stat,CPU_3,2,,,779838,
T_5141,scheduled_to_wake_on,CPU_0,1,,,,
T_5141,wake_up,CPU_0,1,,,,
T_5141,switched_out,CPU_3,1,,,,
T_5140,scheduled_to_wake_on,CPU_1,1,,,,
T_5140,wake_up,CPU_1,1,,,,
T_5134,process_freed,CPU_3,1,,,,terminated
T_5133,process_freed,CPU_1,1,,,,terminated
CPU_2,switched_in,T_5142,1,,,,
P_5142,contains,T_5142,1,,,,
T_5142,scheduled_to_wake_on,CPU_2,2,,,,
T_5142,wake_up,CPU_2,2,,,,
T_5142,runtime_stat,CPU_2,1,,,53987,
T_5142,switched_out,CPU_2,1,,,,
CPU_3,switched_in,T_5142,2,,,,
T_5142,close_fd,File_FD_5,2,,,,
T_5142,close_exit,T_5142,4,0,,,
T_5142,close_fd,File_FD_2,1,,,,
T_5142,runtime_stat,CPU_3,3,,,486706,
T_5142,switched_out,CPU_3,2,,,,
CPU_0,switched_in,T_5143,1,,,,
P_5143,contains,T_5143,1,,,,
T_5143,scheduled_to_wake_on,CPU_0,1,,,,
T_5143,wake_up,CPU_0,1,,,,
T_5143,runtime_stat,CPU_0,1,,,46451,
T_5143,switched_out,CPU_0,1,,,,
CPU_1,switched_in,T_5143,1,,,,
T_5143,close_fd,File_FD_5,17,,,,
T_5143,close_exit,T_5143,275,0,,,
T_5143,runtime_stat,CPU_1,4,,,780147,
T_5143,ioctl,File_1,2,,21523,,
T_5143,ioctl_exit,T_5143,4,-25,,,
T_5143,ioctl,File_2,1,,21523,,
T_5143,ioctl,File_0,1,,21523,,
T_5143,close_fd,File_FD_6,3,,,,
T_5143,close_fd,File_FD_8,252,,,,
T_5143,close_fd,File_FD_7,1,,,,
T_5143,scheduled_to_wake_on,CPU_1,1,,,,
T_5143,wake_up,CPU_2,1,,,,
T_5143,close_fd,File_FD_1,1,,,,
T_5143,close_fd,File_FD_2,1,,,,
T_5143,scheduled_to_wake_on,CPU_3,1,,,,
T_5143,wake_up,CPU_3,1,,,,
T_5143,switched_out,CPU_1,1,,,,
T_5142,close_fd,File_FD_10,1,,,,
CPU_3,switched_in,T_5144,1,,,,
P_5144,contains,T_5144,1,,,,
T_5144,scheduled_to_wake_on,CPU_3,2,,,,
T_5144,wake_up,CPU_3,2,,,,
T_5144,runtime_stat,CPU_3,1,,,50017,
T_5144,switched_out,CPU_3,1,,,,
CPU_0,switched_in,T_5144,2,,,,
T_5144,close_fd,File_FD_5,2,,,,
T_5144,close_exit,T_5144,4,0,,,
T_5144,close_fd,File_FD_2,1,,,,
T_5144,runtime_stat,CPU_0,3,,,508803,
T_5144,switched_out,CPU_0,2,,,,
CPU_1,switched_in,T_5145,1,,,,
P_5145,contains,T_5145,1,,,,
T_5145,scheduled_to_wake_on,CPU_1,1,,,,
T_5145,wake_up,CPU_1,1,,,,
